Match ID,Second,Result,Player,Race,Current Workers,Food Used,Food Available,Current Minerals,Minerals Collection Rate,Minerals Used in Progress,Minerals Used,Minerals Used Active Forces,Minerals Lost,Current Vespene,Vespene Collection Rate,Vespene Used in Progress,Vespene Used,Vespene Used Active Forces,Vespene Lost
0,960,Loss,Player 1 - MCanning (Protoss),P,64,142.0,172.0,155,2407,1050,13550,3800,3150,57,963,250,3275,2675,1100
0,960,Win,Player 2 - DisK (Protoss),P,66,141.0,157.0,1195,2491,1250,13050,3400,4175,883,985,450,3325,2675,600
0,990,Loss,Player 1 - MCanning (Protoss),P,64,146.0,188.0,85,1987,775,14025,4075,3150,284,1007,200,3450,2850,1100
0,990,Win,Player 2 - DisK (Protoss),P,66,157.0,157.0,785,2323,750,14150,4500,3875,927,985,150,3625,2975,600
0,1020,Loss,Player 1 - MCanning (Protoss),P,65,155.0,188.0,285,2575,950,15150,4700,3150,378,985,0,3900,3300,1100
0,1020,Win,Player 2 - DisK (Protoss),P,66,172.0,173.0,755,2323,1200,14850,5000,3975,1279,940,300,3625,2975,600
0,1050,Loss,Player 1 - MCanning (Protoss),P,66,167.0,196.0,360,2435,250,16675,5675,3150,287,1164,0,4375,3775,1100
0,1050,Win,Player 2 - DisK (Protoss),P,66,178.0,181.0,755,1987,1300,15500,5400,3975,1319,985,300,3925,3125,600
0,1080,Loss,Player 1 - MCanning (Protoss),P,66,175.0,204.0,530,2351,300,17075,5825,3375,218,1299,300,4475,3875,1225
0,1080,Win,Player 2 - DisK (Protoss),P,66,177.0,196.0,1275,2267,900,16000,5200,4175,1671,940,300,3925,3125,600
0,1110,Loss,Player 1 - MCanning (Protoss),P,66,189.0,204.0,475,2351,450,17700,6450,3500,486,1299,150,4700,4100,1350
0,1110,Win,Player 2 - DisK (Protoss),P,69,194.0,196.0,720,2435,400,17550,6300,4425,1269,963,150,4725,3925,600
0,1140,Loss,Player 1 - MCanning (Protoss),P,66,198.0,204.0,125,2295,550,18350,7100,3725,796,1299,150,4750,4150,1475
0,1140,Win,Player 2 - DisK (Protoss),P,69,195.0,196.0,1100,2435,700,17600,6200,4525,1621,985,300,4725,3925,600
0,1170,Loss,Player 1 - MCanning (Protoss),P,66,174.0,212.0,930,2239,725,16975,5625,4950,1264,1254,425,3625,3025,2350
0,1170,Win,Player 2 - DisK (Protoss),P,63,180.0,196.0,890,1483,400,16975,6175,6475,1432,1164,0,5500,4700,750
0,1200,Loss,Player 1 - MCanning (Protoss),P,66,177.0,212.0,535,2323,750,17100,5750,6000,1182,1321,300,3875,3275,2775
0,1200,Win,Player 2 - DisK (Protoss),P,32,161.0,188.0,320,895,200,16075,6675,8475,1208,716,0,6000,5200,750
0,1230,Loss,Player 1 - MCanning (Protoss),P,62,132.0,212.0,1010,2211,700,14475,3625,8675,1334,1231,300,2825,2225,3975
0,1230,Win,Player 2 - DisK (Protoss),P,35,138.0,188.0,720,1147,0,15075,5625,9625,1496,828,0,5600,4800,1150
0,1260,Loss,Player 1 - MCanning (Protoss),P,47,102.0,227.0,445,1427,850,12700,2400,11550,1136,963,500,1850,1250,5300
0,1260,Win,Player 2 - DisK (Protoss),P,38,147.0,188.0,270,1119,25,15450,5850,10075,1622,783,75,5675,4875,1150
0,1290,Loss,Player 1 - MCanning (Protoss),P,47,95.0,196.0,645,1343,175,12075,2675,12875,1162,839,225,2000,1400,5500
0,1290,Win,Player 2 - DisK (Protoss),P,31,124.0,188.0,490,1147,0,13975,4875,11775,1868,649,0,4750,3950,2150
0,1320,Loss,Player 1 - MCanning (Protoss),P,24,84.0,165.0,115,531,175,10625,3350,15125,633,156,225,2650,2050,5550
0,1320,Win,Player 2 - DisK (Protoss),P,26,110.0,180.0,815,1007,0,13050,4375,12700,2022,403,0,4350,3550,2550
0,1350,Loss,Player 1 - MCanning (Protoss),P,24,83.0,165.0,110,895,400,10175,3000,15725,538,0,300,2350,1750,6050
0,1350,Win,Player 2 - DisK (Protoss),P,25,131.0,180.0,295,783,200,13775,5150,12850,638,313,0,5725,4925,2550
0,1380,Loss,Player 1 - MCanning (Protoss),P,28,88.0,165.0,195,1371,250,10575,3200,15950,413,0,150,2650,2050,6175
0,1380,Win,Player 2 - DisK (Protoss),P,29,136.0,180.0,120,811,200,14225,5400,12900,504,335,0,5975,5175,2550
0,1410,Loss,Player 1 - MCanning (Protoss),P,25,92.0,165.0,5,671,225,10825,3600,16200,108,111,75,3050,2450,6175
0,1410,Win,Player 2 - DisK (Protoss),P,34,140.0,180.0,410,1399,0,14625,5400,12900,620,313,0,5975,5175,2550
0,1440,Loss,Player 1 - MCanning (Protoss),P,22,91.0,142.0,105,727,0,10500,3925,16900,224,313,0,3125,2525,6175
0,1440,Win,Player 2 - DisK (Protoss),P,38,153.0,180.0,75,1679,150,15125,5700,13150,486,313,0,5975,5175,2800
0,1470,Loss,Player 1 - MCanning (Protoss),P,22,77.0,142.0,435,923,0,9725,3150,17675,340,313,0,2450,1850,6850
0,1470,Win,Player 2 - DisK (Protoss),P,29,142.0,172.0,330,1259,0,14200,5800,14475,352,313,0,5975,5275,3050
0,1500,Loss,Player 1 - MCanning (Protoss),P,22,51.0,134.0,475,951,300,7825,1425,19575,156,313,300,1250,650,8050
